Label,Group,Group2,Timepoint,Cage ,Cage.Treat,Pheno.Treat,Cage.Pheno,Sex,Rep,Fly Count,16,20,24,40,44,48,64,68,72,88,92,96,112,116,120,136,140,144,160,164,168,184,188,192,,Mean.SRm
T1-A2-1,1-aa,1-A2-aa,1,A2,a,a,aa,1,1,10,,,,2,3,4,6,6,7,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,,66
T1-A2-2,1-aa,1-A2-aa,1,A2,a,a,aa,2,2,10,,,,3,3,4,6,6,7,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,,65.6
T1-A2-3,1-aa,1-A2-aa,1,A2,a,a,aa,3,3,10,,,,2,2,3,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,,63.2
T1-A3-1,1-aa,1-A3-aa,1,A3,a,a,aa,1,1,10,,,1,2,2,3,5,6,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,,63.6
T1-A3-2,1-aa,1-A3-aa,1,A3,a,a,aa,2,2,10,,,,2,2,2,4,5,5,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,,74.4
T1-A3-3,1-aa,1-A3-aa,1,A3,a,a,aa,3,3,10,,,,2,2,2,4,5,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,70
T1-A4-1,1-aa,1-A4-aa,1,A4,a,a,aa,1,1,10,1,1,1,2,2,3,7,6,6,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,,74.4
T1-A4-2,1-aa,1-A4-aa,1,A4,a,a,aa,2,2,10,,,,1,3,4,6,7,7,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,,68.4
T1-A4-3,1-aa,1-A4-aa,1,A4,a,a,aa,3,3,10,,,,2,2,2,3,3,3,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,,76.8
T1-A5-1,1-aa,1-A5-aa,1,A5,a,a,aa,1,1,10,,,,1,2,6,8,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,,58.8
T1-A5-2,1-aa,1-A5-aa,1,A5,a,a,aa,2,2,10,,,,1,1,2,5,5,7,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,,70.4
T1-A5-3,1-aa,1-A5-aa,1,A5,a,a,aa,3,3,10,,,,1,1,1,5,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,57.6
T1-A6-1,1-aa,1-A6-aa,1,A6,a,a,aa,1,1,10,,,,3,3,4,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,62.4
T1-A6-2,1-aa,1-A6-aa,1,A6,a,a,aa,2,2,10,,,,2,3,4,6,6,7,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,,66.4
T1-A6-3,1-aa,1-A6-aa,1,A6,a,a,aa,3,3,10,,,,4,5,5,6,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,58
T1-B1-1,1-bb,1-B1-bb,1,B1,b,b,bb,1,1,10,,,,5,6,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,48.8
T1-B1-2,1-bb,1-B1-bb,1,B1,b,b,bb,2,2,10,,,,3,5,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,46.8
T1-B1-3,1-bb,1-B1-bb,1,B1,b,b,bb,3,3,10,1,1,1,2,2,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,52
T1-B2-1,1-bb,1-B2-bb,1,B2,b,b,bb,1,1,10,,,,2,2,5,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,55.2
T1-B2-2,1-bb,1-B2-bb,1,B2,b,b,bb,2,2,10,,,,4,6,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,47.2
T1-B2-3,1-bb,1-B2-bb,1,B2,b,b,bb,3,3,10,,,,3,4,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,48.4
T1-B3-1,1-bb,1-B3-bb,1,B3,b,b,bb,1,1,10,,,,3,3,3,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,60
T1-B3-2,1-bb,1-B3-bb,1,B3,b,b,bb,2,2,10,1,1,1,5,6,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,41.2
T1-B3-3,1-bb,1-B3-bb,1,B3,b,b,bb,3,3,10,,1,2,4,6,7,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,48.4
T1-B4-1,1-bb,1-B4-bb,1,B4,b,b,bb,1,1,10,,,,5,5,6,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,51.2
T1-B4-2,1-bb,1-B4-bb,1,B4,b,b,bb,2,2,10,,,,1,3,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,49.6
T1-B4-3,1-bb,1-B4-bb,1,B4,b,b,bb,3,3,10,,,,,2,2,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,63.2
T1-B5-1,1-bb,1-B5-bb,1,B5,b,b,bb,1,1,10,,,,1,2,2,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,,64.8
T1-B5-2,1-bb,1-B5-bb,1,B5,b,b,bb,2,2,10,1,1,1,2,3,5,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,,55.6
