Label,Group,Group2,Timepoint,Cage,Cage.Treat,Pheno.Treat,Cage.Pheno,Sex,Rep,Fly Count,16,20,24,40,44,48,64,68,72,88,92,96,112,116,120,136,140,144,160,164,168,184,188,192,Mean.SRf
T1-A1-F3,1-aa,1-A1-aa,1,A1,a,a,aa,F,3,10,,,,1,1,1,4,4,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,76
T1-A2-F1,1-aa,1-A2-aa,1,A2,a,a,aa,F,1,10,,,,2,4,5,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,59.2
T1-A2-F2,1-aa,1-A2-aa,1,A2,a,a,aa,F,2,10,,,,3,3,3,6,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,67.2
T1-A2-F3,1-aa,1-A2-aa,1,A2,a,a,aa,F,3,10,,,,2,4,6,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,55.2
T1-A3-F1,1-aa,1-A3-aa,1,A3,a,a,aa,F,1,10,,,,2,2,4,6,6,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,62.4
T1-A3-F2,1-aa,1-A3-aa,1,A3,a,a,aa,F,2,10,,,,3,5,6,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,58.4
T1-A3-F3,1-aa,1-A3-aa,1,A3,a,a,aa,F,3,10,,,,3,3,6,7,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,56.4
T1-A4-F1,1-aa,1-A4-aa,1,A4,a,a,aa,F,1,10,,,,,,,5,5,5,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,80.8
T1-A4-F2,1-aa,1-A4-aa,1,A4,a,a,aa,F,2,10,,,,3,4,4,5,5,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,63.6
T1-A4-F3,1-aa,1-A4-aa,1,A4,a,a,aa,F,3,10,,,,1,1,4,6,6,6,7,7,8,10,10,10,10,10,10,10,10,10,10,10,10,72
T1-A5-F1,1-aa,1-A5-aa,1,A5,a,a,aa,F,1,10,,,,2,2,4,6,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,61.6
T1-A5-F2,1-aa,1-A5-aa,1,A5,a,a,aa,F,2,10,,,,,0,1,2,3,3,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,82
T1-A5-F3,1-aa,1-A5-aa,1,A5,a,a,aa,F,3,10,,,,1,1,1,4,4,5,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,79.2
T1-A6-F1,1-aa,1-A6-aa,1,A6,a,a,aa,F,1,10,1,1,1,5,5,6,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,51.6
T1-A6-F2,1-aa,1-A6-aa,1,A6,a,a,aa,F,2,10,,,,2,3,4,6,6,7,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,66
T1-A6-F3,1-aa,1-A6-aa,1,A6,a,a,aa,F,3,10,,,,1,1,3,6,6,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,69.6
T1-B1-F1,1-bb,1-B1-bb,1,B1,b,b,bb,F,1,10,,,,5,5,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,48.8
T1-B1-F2,1-bb,1-B1-bb,1,B1,b,b,bb,F,2,10,,,,4,6,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,49.2
T1-B1-F3,1-bb,1-B1-bb,1,B1,b,b,bb,F,3,10,,,,3,5,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,49.6
T1-B2-F1,1-bb,1-B2-bb,1,B2,b,b,bb,F,1,10,,,,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,43.6
T1-B2-F2,1-bb,1-B2-bb,1,B2,b,b,bb,F,2,10,,,,4,6,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,47.2
T1-B2-F3,1-bb,1-B2-bb,1,B2,b,b,bb,F,3,10,,,,6,6,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,46.4
T1-B3-F1,1-bb,1-B3-bb,1,B3,b,b,bb,F,1,10,,,,2,2,2,6,6,7,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,72
T1-B3-F2,1-bb,1-B3-bb,1,B3,b,b,bb,F,2,10,,,,1,2,3,6,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,64
T1-B3-F3,1-bb,1-B3-bb,1,B3,b,b,bb,F,3,10,,,,2,3,4,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,58
T1-B4-F1,1-bb,1-B4-bb,1,B4,b,b,bb,F,1,10,,,,1,3,7,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,53.6
T1-B4-F2,1-bb,1-B4-bb,1,B4,b,b,bb,F,2,10,,,,3,5,5,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,55.6
T1-B4-F3,1-bb,1-B4-bb,1,B4,b,b,bb,F,3,10,,,,,2,3,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,59.2
T1-B5-F1,1-bb,1-B5-bb,1,B5,b,b,bb,F,1,10,,,,3,4,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,50
T1-B5-F2,1-bb,1-B5-bb,1,B5,b,b,bb,F,2,10,,,,5,7,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,52
T1-B5-F3,1-bb,1-B5-bb,1,B5,b,b,bb,F,3,10,,,,2,3,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,52.4
T1-B6-F1,1-bb,1-B6-bb,1,B6,b,b,bb,F,1,10,,,,3,3,4,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,57.2
